"Energy with dietary fibre, equated (kJ)",Moisture (water) (g),Nitrogen (g),Ash (g),Alcohol (g),Fructose (g),Glucose (g),Sucrose(g),Maltose (g),Lactose (g),Total sugars (g),Added sugars (g),Free sugars (g),Starch (g),Calcium (Ca) (mg),Copper (Cu) (mg),Iodine (I) (ug),Iron (Fe) (mg),Magnesium (Mg) (mg),Manganese (Mn) (mg),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Zinc (Zn) (mg),Retinol (preformed vitamin A) (ug),Beta-carotene (ug),Beta-carotene equivalents (provitamin A) (ug),Vitamin A retinol equivalents (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Niacin derived from tryptophan (mg),Niacin derived equivalents (mg),Pyridoxine (B6) (mg),Cobalamin (B12) (ug),"Folate, natural (ug)",Folic acid (ug),Total folates (ug),Dietary folate equivalents (ug),Vitamin C (mg),Cholecalciferol (D3) (ug),Ergocalciferol (D2) (ug),25-hydroxy cholecalciferol (25-OH D3) (ug),25-hydroxy ergocalciferol (25-OH D2) (ug),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Vitamin E (mg),"Total saturated fatty acids, equated (%T)","Total monounsaturated fatty acids, equated (%T)",C18:2w6 (%T),C18:3w3 (%T),C20:5w3 (%T),C22:5w3 (%T),C22:6w3 (%T),"Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated (%T)","Total trans fatty acids, imputed (%T)",C16 (g),"Total saturated fatty acids, equated (g)",C18:1 (g),"Total monounsaturated fatty acids, equated (g)",C18:2w6 (g),C18:3w3 (g),C20:5w3 (mg),C22:5w3 (mg),C22:6w3 (mg),"Total polyunsaturated fatty acids, equated (g)","Total long chain omega 3 fatty acids, equated (mg)","Total trans fatty acids, imputed (mg)",Caffeine (mg),Cholesterol (mg),Tryptophan (mg/gN),Tryptophan (mg)
800,62.6,4.46,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.05,2.1,0.7,20,0.01,190,200,20.0,70,1.6,22,0,0,22,0.06,0.25,6.0,6.45,12.45,0.28,0.7,0,0,0,0,0,0.0,0,1.2,0,6.0,0.6,0.56,33.0,53.1,11.8,0.8,0.0,0.0,0.0,13.6,0.0,0.6,1.94,2.74,3.82,4.42,0.98,0.07,0.0,0.0,0.0,1.13,0.0,49.9,0,130,85.0,379
2038,1.5,1.4,3.2,0.0,0.0,0.0,0.4,0.0,2.1,2.5,0.0,0.0,51.0,190,0.075,12.2,0.3,29,,170,230,0.0,1000,1.37,0,770,794,132,0.027,0.02,0.5,1.41,1.91,0.13,0.0,40,0,40,40,0,0.0,0,0.0,0,0.0,4.8,4.8,45.9,42.5,10.3,0.3,0.0,0.0,0.0,10.6,0.0,0.6,9.62,11.3,10.34,10.46,2.54,0.07,0.0,0.0,0.0,2.61,0.0,147.7,0,9,59.0,83
663,69.2,3.26,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.01,0.3,0.56,23,0.0,202,336,10.4,217,1.3,31,0,0,31,0.059,0.052,7.39,4.38,11.77,0.25,0.6,0,0,0,0,0,0.2,0,0.4,0,2.12,0.3,0.31,29.64,31.81,34.2,2.9,0.0,0.2,0.2,38.64,0.336,0.5,1.64,2.39,2.3,2.57,2.76,0.23,0.0,13.57,13.57,3.12,27.142,37.96,0,50,79.0,258
627,65.7,4.58,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.093,0.8,0.94,26,0.011,250,380,28.8,52,2.4,0,0,0,0,1.1,0.07,5.3,5.68,10.98,0.6,0.4,27,0,27,27,0,0.4,0,0.0,0,0.4,0.0,0.0,36.6,42.2,14.0,0.7,0.0,0.6,0.3,20.4,0.9,0.4,0.79,1.26,1.32,1.46,0.48,0.02,0.0,20.75,10.37,0.7,31.122,13.83,0,57,73.0,334
745,62.0,5.92,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.107,0.8,2.28,21,0.0,210,251,25.5,28,7.66,0,10,10,2,0.018,0.126,2.22,5.09,9.12,0.1,0.9,18,0,18,18,1,0.4,0,0.8,0,4.59,0.5,0.54,,,,,,,,,,,0.63,1.12,1.05,1.22,0.17,0.04,32.31,51.66,6.71,0.43,90.689,108.4,0,72,,300
2191,35.2,1.92,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.047,0.8,0.66,14,0.007,100,230,23.8,36,0.58,35,0,0,35,0.52,0.0,3.6,2.38,5.98,0.29,1.4,8,0,8,8,0,6.0,0,0.0,0,6.0,0.4,0.43,37.7,48.2,11.4,0.8,0.0,0.0,0.0,13.0,0.0,0.6,12.08,19.29,23.03,24.67,5.83,0.41,0.0,0.0,0.0,6.65,0.0,307.06,0,32,73.0,140
644,66.1,4.92,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.237,1.2,4.56,26,0.037,240,368,31.6,53,3.03,0,0,0,0,0.138,0.332,5.68,6.19,13.3,0.06,4.4,16,0,16,16,0,0.2,0,0.8,0,4.38,0.0,0.0,,,,,,,,,,,0.56,0.96,1.21,1.32,0.51,0.03,0.0,6.22,3.11,0.75,9.326,9.32,0,80,,364
574,75.0,1.99,1.0,0.0,0.1,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.4,39,0.065,47.3,1.61,10,0.028,131,107,26.6,127,1.24,39,2,2,39,0.06,0.38,0.04,2.67,2.72,0.01,1.4,83,0,83,83,0,1.4,0,0.9,0,5.9,6.6,8.96,32.5,50.29,13.8,0.9,0.0,0.1,0.8,17.04,0.93,0.1,1.86,2.56,3.66,3.96,1.08,0.07,0.39,7.88,65.0,1.34,73.28,9.46,0,488,79.0,157
650,65.0,5.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.196,1.7,2.6,30,0.0,260,400,13.0,48,6.0,0,12,12,2,0.03,0.0,1.0,4.39,5.39,0.09,1.1,25,0,25,25,0,0.2,0,0.1,0,0.7,0.7,0.7,36.49,48.05,6.1,0.5,0.5,1.5,0.2,13.05,2.175,2.4,0.52,0.97,1.13,1.28,0.16,0.01,12.4,39.13,6.24,0.35,57.777,64.04,0,81,51.0,258
946,60.0,2.5,2.6,0.0,0.4,0.6,0.3,0.0,0.0,1.3,0.0,0.0,3.6,11,,4.3,1.37,68,,200,1003,8.5,1050,3.05,26,170,170,54,0.0,0.32,0.0,2.19,2.19,0.06,2.8,0,0,0,0,1,0.0,0,0.2,0,1.2,0.5,0.5,48.57,39.18,2.2,1.8,0.0,0.3,0.0,4.52,0.287,2.8,3.22,7.43,5.52,5.99,0.34,0.27,0.0,43.9,0.0,0.69,43.897,423.21,0,56,52.0,129
